Mesh_id,Link_id,Locptid,Loctabcode,Locdir,Dir
514565,1626662,73,32,+,1
514565,1626665,74,32,+,1
514565,1626666,75,32,+,1
514565,1626658,76,32,+,1
514565,1626656,77,32,+,1
514575,2202490,78,32,+,1
514575,16078788,78,32,+,1
514575,16078789,78,32,+,1
514575,88262983,78,32,+,1
514575,2202496,78,32,+,1
514575,2202473,78,32,+,1
514575,2202475,78,32,+,1
514576,938521,78,32,+,1
514565,86454630,79,32,+,1
514565,1631359,80,32,+,1
514565,1626610,81,32,+,1
514565,86695162,81,32,+,1
514565,86695163,81,32,+,1
514565,1626621,82,32,+,1
514565,1625141,82,32,+,1
514565,1639102,82,32,+,1
514565,1639104,82,32,+,1
514565,1626582,83,32,+,1
514565,1626585,84,32,+,1
514565,1626584,85,32,-,1
514565,1625144,85,32,-,1
514565,1639135,86,32,-,1
514565,1639133,86,32,-,1
514565,1625142,86,32,-,1
514565,86695165,87,32,-,1
514565,86695164,87,32,-,1
514565,16078754,88,32,-,1
514565,16078753,88,32,-,1
514565,1626611,88,32,-,1
514565,1625118,89,32,+,1
514565,1629716,90,32,+,1
514565,86454633,90,32,+,1
514565,86454634,90,32,+,1
514565,86454628,90,32,+,1
514565,86454629,91,32,+,1
514565,86454632,91,32,+,1
514565,86454631,91,32,+,1
514565,1639141,91,32,+,1
514565,16078749,92,32,+,1
514565,16078748,92,32,+,1
514565,1628186,92,32,+,1
514565,16078751,92,32,+,1
514565,16078752,92,32,+,1
514565,16078749,93,32,+,1
514565,1629805,94,32,-,1
514565,16078759,94,32,-,1
514565,16078760,94,32,-,1
514566,1394908,95,32,+,1
514566,1394905,95,32,+,1
514565,86230168,96,32,+,1
514565,86230167,96,32,+,1
514565,91213473,96,32,+,1
514565,91213474,96,32,+,1
514565,86230161,96,32,+,1
514565,1634439,96,32,+,1
514565,1626645,97,32,+,1
514565,86230193,98,32,+,1
514565,86230194,99,32,+,1
514565,1636030,99,32,+,1
514565,1636032,99,32,+,1
514565,86230196,100,32,+,1
514565,86230197,100,32,+,1
514565,1625162,101,32,+,1
514565,1625164,101,32,+,1
514565,1626643,101,32,+,1
514565,1626644,102,32,+,1
514565,1625168,103,32,+,1
514565,86695149,104,32,+,1
514565,86695150,104,32,+,1
514565,86695151,105,32,+,1
514565,86695152,105,32,+,1
514565,1636049,106,32,+,1
514565,86695153,106,32,+,1
514565,86695155,106,32,+,1
