RoadName,Cls,Funcls,Length,Loc_Mesh,Loc_Cls,Loc_ID,Mesh,LinkID
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962374
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962376
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962377
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962378
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962381
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962382
县城中街,0,0c01,0.000000,0,0,0,494435,15962390
县城中街,0,0c01,0.000000,0,0,0,494435,15962391
城江南街,0,0c01,0.000000,0,0,0,494435,15962393
城江南街,0,0c01,0.000000,0,0,0,494435,15962394
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962397
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962398
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962403
城关北街,0,0c01,0.000000,0,0,0,494435,15962404
城关北街,0,0c01,0.000000,0,0,0,494435,15962409
城关北街,0,0c01,0.000000,0,0,0,494435,15962412
城关北街,0,0c01,0.000000,0,0,0,494435,15962413
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962422
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962423
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962425
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962427
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962429
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962430
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962431
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962433
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962435
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962436
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962437
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962439
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962440
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,15962441
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,19698071
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,19698072
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,85557866
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,85557867
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,85557868
Ｇ２１２,0,0c01,0.000000,0,0,0,494435,85557869
Ｇ２１２,0,0c01,0.000000,0,0,0,494436,970973
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962450
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962451
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962455
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962456
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962457
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962469
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962471
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962473
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962475
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962477
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962478
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962480
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962482
Ｘ４８４,0,0c01,0.000000,0,0,0,494444,15962483
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,15962570
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,15962572
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,15962574
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,15962576
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,15962578
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,15962580
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,15962582
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,15962583
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,15962584
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,15962586
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,15962587
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,868955
Ｇ２１２,0,0c01,0.000000,0,0,0,494444,870487
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962485
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962486
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962487
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962489
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962491
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962492
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962493
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962495
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962497
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962499
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962501
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962503
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962505
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962507
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962509
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962511
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962513
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962514
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962515
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962517
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962520
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962521
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962523
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962525
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962527
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962529
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962531
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962533
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962534
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962535
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962537
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962539
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962540
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962541
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962542
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962544
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962546
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962548
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962550
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962552
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962554
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962555
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962556
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962558
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962560
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962562
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962564
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962566
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962568
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,15962569
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,844003
Ｇ２１２,0,0c01,0.000000,0,0,0,494445,844004
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893332
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893333
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893335
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893336
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893337
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893338
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893339
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893341
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893343
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893347
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893349
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893351
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893353
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893355
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893357
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893359
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893361
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893363
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893365
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893366
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893367
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893371
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893372
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,15893373
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,962136
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,962139
Ｇ２１２,0,0c01,0.000000,0,0,0,494446,962154
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893375
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893383
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893385
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893388
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893389
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893391
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893393
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893395
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893397
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893399
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893401
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893402
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893403
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893406
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893407
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893408
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893409
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893410
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893411
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893412
Ｇ２１２,0,0c01,0.000000,0,0,0,494447,15893413
临江白龙江大桥,0,0c01,0.000000,0,0,0,494447,1880712
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,1250305
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,1250307
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,1250309
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,1250315
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,1250318
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893298
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893299
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893301
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893303
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893305
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893307
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893309
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893310
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893311
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893312
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893313
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893314
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893316
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893318
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893320
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893322
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893324
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893326
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893328
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893330
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,15893331
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,88533602
Ｇ２１２,0,0c01,0.000000,0,0,0,494456,88533603
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893415
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893417
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893419
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893421
